CMDLINE /Users/mohan/.pyenv/versions/3.11.8/envs/data/bin/python3.11 memory-profiler.py
MEM 0.046875 1726263698.6930
MEM 21.406250 1726263698.7980
MEM 21.718750 1726263698.9031
MEM 22.046875 1726263699.0082
MEM 22.343750 1726263699.1133
MEM 22.734375 1726263699.2183
MEM 23.062500 1726263699.3234
MEM 23.375000 1726263699.4285
MEM 23.703125 1726263699.5336
MEM 24.031250 1726263699.6386
MEM 24.359375 1726263699.7437
MEM 24.640625 1726263699.8443
MEM 24.906250 1726263699.9460
MEM 25.203125 1726263700.0511
MEM 25.500000 1726263700.1562
MEM 25.812500 1726263700.2604
MEM 26.140625 1726263700.3655
MEM 26.468750 1726263700.4706
MEM 26.796875 1726263700.5756
MEM 27.109375 1726263700.6758
MEM 27.437500 1726263700.7768
MEM 27.734375 1726263700.8789
MEM 28.062500 1726263700.9809
MEM 28.406250 1726263701.0860
MEM 28.734375 1726263701.1897
MEM 29.031250 1726263701.2948
MEM 29.328125 1726263701.3985
MEM 29.656250 1726263701.5021
MEM 29.968750 1726263701.6072
MEM 30.281250 1726263701.7112
MEM 30.593750 1726263701.8163
MEM 30.937500 1726263701.9200
MEM 31.234375 1726263702.0251
MEM 31.562500 1726263702.1271
MEM 31.875000 1726263702.2322
MEM 32.203125 1726263702.3355
MEM 32.515625 1726263702.4384
MEM 32.796875 1726263702.5394
MEM 32.968750 1726263702.6408
MEM 33.156250 1726263702.7472
MEM 33.406250 1726263702.8496
MEM 33.734375 1726263702.9518
MEM 34.078125 1726263703.0568
MEM 34.390625 1726263703.1618
MEM 34.734375 1726263703.2668
MEM 35.046875 1726263703.3688
MEM 35.359375 1726263703.4739
MEM 35.656250 1726263703.5743
MEM 35.968750 1726263703.6794
MEM 36.296875 1726263703.7844
MEM 36.625000 1726263703.8889
MEM 36.937500 1726263703.9913
MEM 37.265625 1726263704.0938
MEM 37.578125 1726263704.1971
MEM 37.875000 1726263704.2977
MEM 38.218750 1726263704.4028
MEM 38.500000 1726263704.5035
MEM 38.796875 1726263704.6040
MEM 39.125000 1726263704.7090
MEM 39.453125 1726263704.8141
MEM 39.796875 1726263704.9192
MEM 40.109375 1726263705.0242
MEM 40.437500 1726263705.1292
MEM 40.750000 1726263705.2343
MEM 41.093750 1726263705.3393
MEM 41.375000 1726263705.4444
MEM 41.703125 1726263705.5468
MEM 42.046875 1726263705.6519
MEM 42.359375 1726263705.7542
MEM 42.671875 1726263705.8592
MEM 43.000000 1726263705.9643
MEM 43.312500 1726263706.0694
MEM 43.656250 1726263706.1744
MEM 43.984375 1726263706.2795
MEM 44.312500 1726263706.3813
MEM 44.625000 1726263706.4864
MEM 44.953125 1726263706.5914
MEM 45.281250 1726263706.6964
MEM 45.578125 1726263706.8015
MEM 45.890625 1726263706.9025
MEM 46.234375 1726263707.0076
MEM 46.546875 1726263707.1126
MEM 46.875000 1726263707.2177
MEM 47.171875 1726263707.3228
MEM 47.484375 1726263707.4237
MEM 47.796875 1726263707.5288
MEM 48.093750 1726263707.6339
MEM 48.406250 1726263707.7390
MEM 48.750000 1726263707.8441
MEM 49.062500 1726263707.9455
MEM 49.390625 1726263708.0503
MEM 49.718750 1726263708.1553
MEM 50.031250 1726263708.2604
MEM 50.359375 1726263708.3655
MEM 50.687500 1726263708.4706
MEM 51.000000 1726263708.5756
MEM 51.328125 1726263708.6807
MEM 51.656250 1726263708.7857
MEM 51.984375 1726263708.8908
MEM 52.312500 1726263708.9958
MEM 52.656250 1726263709.1008
MEM 52.984375 1726263709.2059
